epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.1222,1.75893,3.79695,1.9519,0.00462,0.57813,0.06061,0.02103,1.45357,3.95556,1.58949,0.0001125,0.0001125,0.0001125
2,76.2338,1.56341,3.28071,1.58542,0.00684,0.7883,0.25537,0.14901,1.30159,3.60475,1.28269,0.000235149,0.000235149,0.000235149
3,111.733,1.50261,2.76111,1.54371,0.00951,0.80999,0.36438,0.208,1.31331,3.47638,1.24612,0.000355322,0.000355322,0.000355322
4,144.106,1.54867,2.44292,1.57239,0.00829,0.8081,0.39321,0.22241,1.35074,3.43172,1.27598,0.000473021,0.000473021,0.000473021
5,177.113,1.5487,2.04317,1.58191,0.00849,0.79908,0.54543,0.3009,1.4191,3.33823,1.29943,0.000588245,0.000588245,0.000588245
6,209.646,1.60415,1.94503,1.59366,0.01113,0.8049,0.46731,0.25697,1.49428,3.23965,1.31247,0.000700994,0.000700994,0.000700994
7,242.519,1.52718,1.79664,1.51083,0.98219,0.16767,0.6456,0.3701,1.44101,3.05445,1.2734,0.000811267,0.000811267,0.000811267
8,274.965,1.52986,1.6731,1.47046,0.94124,0.22618,0.71759,0.39051,1.47092,2.83911,1.2875,0.000919066,0.000919066,0.000919066
9,307.456,1.53379,1.66649,1.47753,0.94451,0.24534,0.63382,0.35101,1.41255,2.79421,1.26347,0.00102439,0.00102439,0.00102439
10,340.166,1.50689,1.61903,1.43099,0.87651,0.41989,0.67993,0.37246,1.46824,2.54048,1.28647,0.00112724,0.00112724,0.00112724
11,372.135,1.53392,1.60493,1.45747,0.85503,0.48519,0.69744,0.38337,1.4227,2.4464,1.27656,0.00112625,0.00112625,0.00112625
12,403.974,1.44823,1.43544,1.37951,0.84434,0.59578,0.72852,0.41273,1.44539,2.06846,1.27569,0.00111388,0.00111388,0.00111388
13,436.443,1.43863,1.5253,1.41285,0.88228,0.58739,0.76231,0.42675,1.42687,1.93931,1.27938,0.0011015,0.0011015,0.0011015
14,468.939,1.43419,1.47757,1.38569,0.86299,0.70543,0.76715,0.44417,1.42223,1.70861,1.27753,0.00108913,0.00108913,0.00108913
15,501.384,1.49565,1.49174,1.40068,0.82039,0.70591,0.75039,0.44276,1.44217,1.73943,1.27531,0.00107675,0.00107675,0.00107675
16,533.335,1.42234,1.40229,1.3608,0.76604,0.75028,0.78955,0.4683,1.3786,1.54908,1.2669,0.00106437,0.00106437,0.00106437
17,565.927,1.37121,1.34285,1.33371,0.86138,0.7513,0.80588,0.47357,1.40548,1.44305,1.26465,0.001052,0.001052,0.001052
18,597.984,1.39568,1.36627,1.33652,0.86182,0.78147,0.835,0.51274,1.31214,1.36773,1.20839,0.00103962,0.00103962,0.00103962
19,630.774,1.37666,1.30907,1.30134,0.77147,0.6994,0.79794,0.4881,1.29129,1.52796,1.21198,0.00102725,0.00102725,0.00102725
20,663.252,1.39097,1.30973,1.3141,0.87145,0.71842,0.81912,0.48435,1.33149,1.54326,1.21964,0.00101488,0.00101488,0.00101488
21,695.491,1.3529,1.34108,1.33042,0.84957,0.74317,0.80632,0.48362,1.32554,1.56452,1.22356,0.0010025,0.0010025,0.0010025
